Name,Description,Category,Actors,Events,Events 2
Wearable,,,,"Sharing of private data with insurance company,Motivated to do more sport,More Sport Images on Instagram",
On Device Storage,,,,"User Private Data stay on Device,User Private Data stay on Device",
PVC Plastic,,,,Disposal after use,
VC Capital,,,,,
Home Stationed,,,,,
Cloud Storage,,,,Extreme use of energy,
Hipster Bamboo,,,,,
Ads Funded,,,,,
Touch Screen,,,,,
Connection to Smarthome,,,,,
Using Inclusive Design Kit,,,,,
Gamification Aspect,,,,"Motivated to do more sport,More Sport Images on Instagram",
social integration,,,,Bad social interactions,
personalized character,,,,"Misinterpretation of the AI,Discrimination because of dialect",
Fancy Aluminium,,,,,
