Name,Parents,Children,Events,Required Parameter for Active,Interaction,Interaction 2
 Data exploitation,,,,,,
 Identification Systems,,,,,,remembers
 Quantification of nature,,,,,,
2nd Hand Product,,,,,"sold by,gets recycled",
2nd Hand Resellers,,,,,sells to,sold by
Ads,,,,,,generates
Advertiser,,,User Private Data stay on Device,,generates,pays
Assembler,,,,,"employs,uses",
Assembly line worker,,,,,uses,employs
Cargoships,,,,,"pollutes,transports","transported by,are disturbed by,works on"
CEO,IOT Corp,,,,directs,
Chips / Components,,,,,,transports
Cloud,,,,,,
Community,,,,,,engages in
Component Traders,,,,,,
Content / Posts,,,,,"contains,has",generates
Corp Budget,IOT Corp,,,,pays,"controls,maintains,manages"
Data Scientists,,,,,"curates,modifies,analyses",employs
Designer,,,,,"gives specs,designs",
Device Separators,,,,,,
Dismantlers,,,,,,gets recycled
Distributers,,,,,,
Domestic / Home,,,,,,lives in
e-waste,,,,,"pollutes,is disposed in","becomes,collects"
Engineers,,,,,builds,gives specs
Fake News,,,,,manipulates,"contains,shares"
Family,,,Bad social interactions,,"elects,lives next to,engages in,cares,lives in,uses,pays","regulates,is part of,insures"
Family Budget,,,,,,
Fish,Ocean,,,,lives in,
Geological Surface / Landscape,,,,,,pollutes
Hauskatze,,,,,,"cares,cares"
Influencer,,,,,"shapes,generates",gives platform
Insurance Company,,,Sharing of private data with insurance company,,"uses,insures,insures","pays,pays"
Interests,,,,,,"exposes,expose,exposes"
Internet Infrastructure,,,,,,connects to
IOT Corp,,,,,"maintains,manages,employs","owns,directs"
IoT Device,,,,,"is build from,becomes","builds,designs,sells"
Landfills,,,Disposal after use,,,is disposed in
Language Model,IoT Device,,"Misinterpretation of the AI,Discrimination because of dialect",,influences,
Leaching facilities,,,,,,
Likes,,,,,exposes,contains
Location Data,,,,,,has
Manual recycling shops,,,,,,
Material,,,Disposal after use,,transported by,is build from
Metals,,,,,,
Miners,,,,,,
Mines,,,,,,
Neighbour,,,,,,lives next to
Ocean,,,,,,"lives in,pollutes"
Other Platforms & Online Services,,,,,,
Payment History,,,,,"concludes,concludes",
Plastic Recycling Facilities,,,,,,"gets recycled,owns"
Private Data,,,Sharing of private data with insurance company,,contains,"generates,uses"
Profile Information,,,,,exposes,contains
Profit,,,,,,concludes
Public Data,,,,,,
PVC / Plastic,,,,,gets recycled,uses
Recycling Enterprises,,,,,owns,
Remanufacturers,,,,,,sells to
Sailors,,,,,works on,
Savings,,,,,,"concludes,has"
Sec Material traders,,,,,,
Server,,,,,part of,
Server Farm,,,Extreme use of energy,,,"part of,runs on"
Shareholder,IOT Corp,,,,"controls,owns",
Smelters,,,,,,
Social Media Platform,,,"More Sport Images on Instagram,User Private Data stay on Device,Bad social interactions",,"contains,shapes,uses,gives platform,runs on",detects usage data
Social Media User,,,,,shares,
Society,,,,,,"is part of,shapes,shapes,manipulates"
Sophisticated other,,,,,,loves
State / Government,,,,,"maintains,manage,regulates,regulates","elects,elects"
State Budget,State / Government,,,,,"maintains,manage"
Tools,,,,,,uses
Tracker,,,,,"detects usage data,remembers,expose,generates",uses
Training Data,,,,,trains,"curates,modifies,analyses"
Transport,,,,,,
User / Human,,,"Motivated to do more sport,User Private Data stay on Device,Bad social interactions",,"elects,cares,buys from,loves,is part of,connects to,is part of,has,pays,has","regulates,insures"
User Budget,,,,,,has
Vendors,,,,,sells,buys from
Voice AI,IoT Device,,Misinterpretation of the AI,,,"influences,trains"
Waste pickers,,,Disposal after use,,collects,
Whales,,,,,are disturbed by,
Wifi-Router,,,,,connects to,"connects to,uses"
Worker,,,,,,
